,Title,Time,Revid,Kind,User,Comment,Rating,Content
0,Prince Charming (2001 film),2006-12-11 00:23:24,93477627,False,Flami72,start article,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his valet, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the valet forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
1,Prince Charming (2001 film),2006-12-11 00:26:24,93478208,True,Flami72,link for TNT,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his valet, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the valet forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
2,Prince Charming (2001 film),2006-12-11 13:38:21,93574210,False,Flami72,added plot summary and list of characters; removed stub,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time.
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by seeming to initiate a romantic tryst. The Prince, realizing that he must marry Margo in order to break the curse, proposes. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, all three couples manage to find themselves with their true loves, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
3,Prince Charming (2001 film),2006-12-11 13:47:20,93575330,False,Flami72,/* See also */ added link to Wikipedia article on Television movies,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time.
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by seeming to initiate a romantic tryst. The Prince, realizing that he must marry Margo in order to break the curse, proposes. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, all three couples manage to find themselves with their true loves, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
4,Prince Charming (2001 film),2006-12-11 14:09:14,93577973,False,Flami72,added distributor,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time.
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by seeming to initiate a romantic tryst. The Prince, realizing that he must marry Margo in order to break the curse, proposes. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, all three couples manage to find themselves with their true loves, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
5,Prince Charming (2001 film),2006-12-11 16:56:50,93604365,False,Flami72,/* Plot Summary */ refine,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate driving her horse-drawn cab and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time and turning the Prince and Rodney into their true selves, (although dressed very oddly).
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by initiating a romantic tryst. The Prince, realizing that he must marry Margo in order to permanently break the curse, proposes marriage. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, the three couples manage to find themselves with the right person, the curse is forever broken by true love, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
6,Prince Charming (2001 film),2006-12-11 17:29:54,93611083,True,Flami72,/* Plot Summary */,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate driving her horse-drawn cab and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time and turning the Prince and Rodney into their true human selves, (although dressed very oddly).
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by initiating a romantic tryst. The Prince, realizing that he must marry Margo in order to permanently break the curse, proposes marriage. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, the three couples manage to find themselves with the right person, the curse is forever broken by true love, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
7,Prince Charming (2001 film),2006-12-11 18:15:43,93620101,True,Flami72,/* Plot Summary */,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate driving her horse-drawn carriage and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time and turning the Prince and Rodney into their true human selves, (although dressed very oddly).
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by initiating a romantic tryst. The Prince, realizing that he must marry Margo in order to permanently break the curse, proposes marriage. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, the three couples manage to find themselves with the right person, the curse is forever broken by true love, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
8,Prince Charming (2001 film),2006-12-11 18:16:35,93620254,False,Flami72,/* List of characters */ more accurately describe Kate's occupation,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate driving her horse-drawn carriage and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time and turning the Prince and Rodney into their true human selves, (although dressed very oddly).
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by initiating a romantic tryst. The Prince, realizing that he must marry Margo in order to permanently break the curse, proposes marriage. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, the three couples manage to find themselves with the right person, the curse is forever broken by true love, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
9,Prince Charming (2001 film),2006-12-11 22:06:05,93668685,False,GeeJo,/* Plot Summary */ spoiler tag,NA,"Prince Charming is a comedy, a modern-day fairy tale, relating the story of a Prince who is cursed, his wizard manservant, and the modern-day women who lift the curse. This made for television movie starred Martin Short as the wizard manservant forever trying to keep his Prince Sean Maguire from harm, with Christina Applegate as the woman who wins the Prince's love and Bernadette Peters as an actress who inadvertently lifts a 500-year curse.
Template:Spoilers
On his wedding day, the Prince commits a romantic indiscretion and is ""frogged""--cursed by turning him into a frog for eternity unless a woman kisses him and marries him. For good measure, his manservant Rodney is also frogged.
Moving forward 500 years, the Prince and Rodney, in the form of frogs, find themselves in New York's Central Park, where the Prince sees Kate driving her horse-drawn carriage and falls in love with her.  However, Margo impetuously picks up the Prince-frog and kisses him, breaking the curse for a short time and turning the Prince and Rodney into their true human selves, (although dressed very oddly).
The Prince and Rodney begin their adventures in the strange city, learning to eat and dress with the help of Kate. When the Prince in human form meets Margo, while performing Shakespeare's ""Romeo and Juliet"", she decides to make her unfaithful lover, Hamish, jealous by initiating a romantic tryst. The Prince, realizing that he must marry Margo in order to permanently break the curse, proposes marriage. Meanwhile, Rodney finds in Serena a fellow ""wizard"" and they try to find potions, etc, that will break the curse. 
In the end, the three couples manage to find themselves with the right person, the curse is forever broken by true love, and all marry to live happily ever after.
This movie reunites Bernadette Peters with her costar from Broadway's The Goodbye Girl, Martin Short, and her director from the movie Heartbeeps, Alan Arkush.
"
