,URL,Type
0,/wiki/Biology_(disambiguation),Biology
1,/wiki/Life,Biology
2,/wiki/Organism,Biology
3,/wiki/Escherichia_coli,Biology
4,/wiki/Gazelle,Biology
5,/wiki/Goliathus,Biology
6,/wiki/Tree_fern,Biology
7,/wiki/History_of_biology,Biology
8,/wiki/Outline_of_biology,Biology
9,/wiki/Glossary_of_biology,Biology
10,/wiki/Index_of_biology_articles,Biology
11,/wiki/Natural_science,Biology
12,/wiki/Life,Biology
13,/wiki/Organism,Biology
14,/wiki/Anatomy,Biology
15,/wiki/Biochemistry,Biology
16,/wiki/Molecular_biology,Biology
17,/wiki/Physiology,Biology
18,/wiki/Developmental_biology,Biology
19,/wiki/Evolution,Biology
20,/wiki/Cell_(biology),Biology
21,/wiki/Genes,Biology
22,/wiki/Heredity,Biology
23,/wiki/Evolution,Biology
24,/wiki/Speciation,Biology
25,/wiki/Extinction,Biology
26,/wiki/Species,Biology
27,/wiki/Organism,Biology
28,/wiki/Thermodynamic_system,Biology
29,/wiki/Energy,Biology
30,/wiki/Entropy,Biology
31,/wiki/Homeostasis,Biology
32,/wiki/Mathematical_and_theoretical_biology,Biology
33,/wiki/Experimental_biology,Biology
34,/wiki/Abiogenesis,Biology
35,/wiki/Protocell,Biology
36,/wiki/Ancient_Greek_language,Biology
37,/wiki/Romanized,Biology
38,/wiki/Surface_analysis,Biology
39,/wiki/History_of_biology,Biology
40,/wiki/Robert_Hooke,Biology
41,/wiki/Micrographia,Biology
42,/wiki/Ernst_Haeckel,Biology
43,/wiki/Greek_Language,Biology
44,/wiki/Life,Biology
45,/wiki/Carl_Linnaeus,Biology
46,/wiki/Bibliotheca_Botanica,Biology
47,/wiki/Michael_Christoph_Hanow,Biology
48,/wiki/Christian_Wolff_(philosopher),Biology
49,/wiki/Karl_Friedrich_Burdach,Biology
50,/wiki/Gottfried_Reinhold_Treviranus,Biology
51,/wiki/Natural_philosophy,Biology
52,/wiki/Mesopotamia,Biology
53,/wiki/Egypt,Biology
54,/wiki/Indian_subcontinent,Biology
55,/wiki/China,Biology
56,/wiki/Ancient_Greece,Biology
57,/wiki/Medicine,Biology
58,/wiki/Pharaonic_Egypt,Biology
59,/wiki/Aristotle,Biology
60,/wiki/History_of_Animals,Biology
61,/wiki/Lyceum,Biology
62,/wiki/Theophrastus,Biology
63,/wiki/Botany,Biology
64,/wiki/Middle_Ages,Biology
65,/wiki/Science_in_the_medieval_Islamic_world,Biology
66,/wiki/Al-Jahiz,Biology
67,/wiki/Al-D%C4%ABnawar%C4%AB,Biology
68,/wiki/Muhammad_ibn_Zakar%C4%ABya_R%C4%81zi,Biology
69,/wiki/Anatomy,Biology
70,/wiki/Physiology,Biology
71,/wiki/Medicine,Biology
72,/wiki/Anton_van_Leeuwenhoek,Biology
73,/wiki/Microscope,Biology
74,/wiki/Spermatozoa,Biology
75,/wiki/Bacteria,Biology
76,/wiki/Infusoria,Biology
77,/wiki/Jan_Swammerdam,Biology
78,/wiki/Entomology,Biology
79,/wiki/Dissection,Biology
80,/wiki/Staining,Biology
81,/wiki/Microscopy,Biology
82,/wiki/Cell_(biology),Biology
83,/wiki/Matthias_Jakob_Schleiden,Biology
84,/wiki/Theodor_Schwann,Biology
85,/wiki/Life,Biology
86,/wiki/Robert_Remak,Biology
87,/wiki/Rudolf_Virchow,Biology
88,/wiki/Cell_theory,Biology
89,/wiki/Carl_Linnaeus,Biology
90,/wiki/Taxonomy_(biology),Biology
91,/wiki/Binomial_nomenclature,Biology
92,"/wiki/Georges-Louis_Leclerc,_Comte_de_Buffon",Biology
93,/wiki/Common_descent,Biology
94,/wiki/History_of_evolutionary_thought,Biology
95,/wiki/Lamarck,Biology
96,/wiki/Charles_Darwin,Biology
97,/wiki/Jean-Baptiste_Lamarck,Biology
98,/wiki/Charles_Darwin,Biology
99,/wiki/Alexander_von_Humboldt,Biology
100,/wiki/Charles_Lyell,Biology
101,/wiki/Thomas_Malthus,Biology
102,/wiki/Natural_selection,Biology
103,/wiki/Alfred_Russel_Wallace,Biology
104,/wiki/Creation%E2%80%93evolution_controversy,Biology
105,/wiki/Population_genetics,Biology
106,/wiki/DNA,Biology
107,/wiki/Chromosomes,Biology
108,/wiki/Genes,Biology
109,/wiki/Viruses,Biology
110,/wiki/Bacteria,Biology
111,/wiki/Molecular_genetics,Biology
112,/wiki/Molecular_Biology,Biology
113,/wiki/Genetic_code,Biology
114,/wiki/Har_Gobind_Khorana,Biology
